sale_id,sale_date,customer_id,product_sku,quantity,unit_price_usd,discount_usd,line_total_usd,sales_channel,order_status
S10001,2025-01-08,CUST-44102,SKU-ELEC-001,2,49.99,5.00,94.98,Online,Completed
S10002,2025-01-09,CUST-88231,SKU-HOME-014,1,129.50,0.00,129.50,Retail Store,Completed
S10003,2025-01-10,CUST-44102,SKU-APRL-221,3,24.00,7.20,64.80,Online,Shipped
S10004,2025-01-11,CUST-11904,SKU-ELEC-001,1,49.99,0.00,49.99,B2B Portal,Completed
S10005,2025-01-12,CUST-55670,SKU-FOOD-088,12,3.25,3.90,35.10,Online,Completed
S10006,2025-01-14,CUST-88231,SKU-ELEC-042,1,799.00,79.90,719.10,Retail Store,Returned
S10007,2025-01-15,CUST-33411,SKU-HOME-014,2,129.50,25.90,233.10,Online,Completed
S10008,2025-01-16,CUST-11904,SKU-APRL-221,1,24.00,0.00,24.00,Retail Store,Completed
S10009,2025-01-17,CUST-55670,SKU-ELEC-001,4,49.99,19.99,179.97,B2B Portal,Shipped
S10010,2025-01-18,CUST-33411,SKU-FOOD-088,6,3.25,0.00,19.50,Online,Pending
